t,i0,i1,i2,i3,i4,i5,i6,i7
265,151,0,0,0,0,0,0,0
266,152,0,0,0,0,0,0,0
267,152,0,0,0,0,0,0,0
268,153,0,0,0,0,0,0,0
269,153,0,0,0,0,0,0,0
270,154,0,0,0,0,0,0,0
271,154,0,0,0,0,0,0,0
272,155,0,0,0,0,0,0,0
273,155,0,0,0,0,0,0,0
274,156,0,0,0,0,0,0,0
275,156,0,0,0,0,0,0,0
276,157,0,0,0,0,0,0,0
277,157,0,0,0,0,0,0,0
278,158,0,0,0,0,0,0,0
279,158,0,0,0,0,0,0,0
280,159,0,0,0,0,0,0,0
281,159,0,0,0,0,0,0,0
282,160,0,0,0,0,0,0,0
283,160,0,0,0,0,0,0,0
284,161,0,0,0,0,0,0,0
285,161,0,0,0,0,0,0,0
286,162,0,0,0,0,0,0,0
287,162,0,0,0,0,0,0,0
288,163,0,0,0,0,0,0,0
289,163,0,0,0,0,0,0,0
290,164,0,0,0,0,0,0,0
291,164,0,0,0,0,0,0,0
292,165,0,0,0,0,0,0,0
293,165,0,0,0,0,0,0,0
294,166,0,0,0,0,0,0,0
295,166,0,0,0,0,0,0,0
296,167,0,0,0,0,0,0,0
297,167,0,0,0,0,0,0,0
298,168,0,0,0,0,0,0,0
299,168,0,0,0,0,0,0,0
300,169,0,0,0,0,0,0,0
301,169,0,0,0,0,0,0,0
302,170,0,0,0,0,0,0,0
303,170,0,0,0,0,0,0,0
304,171,0,0,0,0,0,0,0
305,171,0,0,0,0,0,0,0
306,172,0,0,0,0,0,0,0
307,172,0,0,0,0,0,0,0
308,173,0,0,0,0,0,0,0
309,173,0,0,0,0,0,0,0
310,174,0,0,0,0,0,0,0
311,174,0,0,0,0,0,0,0
312,175,0,0,0,0,0,0,0
313,175,0,0,0,0,0,0,0
314,176,0,0,0,0,0,0,0
315,176,0,0,0,0,0,0,0
316,177,0,0,0,0,0,0,0
317,177,0,0,0,0,0,0,0
318,178,0,0,0,0,0,0,0
319,178,0,0,0,0,0,0,0
320,179,0,0,0,0,0,0,0
321,179,0,0,0,0,0,0,0
322,180,0,0,0,0,0,0,0
323,180,0,0,0,0,0,0,0
324,181,0,0,0,0,0,0,0
325,181,0,0,0,0,0,0,0
326,182,0,0,0,0,0,0,0
327,182,0,0,0,0,0,0,0
328,183,0,0,0,0,0,0,0
329,183,0,0,0,0,0,0,0
330,184,0,0,0,0,0,0,0
331,184,0,0,0,0,0,0,0
332,185,0,0,0,0,0,0,0
333,185,0,0,0,0,0,0,0
334,186,0,0,0,0,0,0,0
335,186,0,0,0,0,0,0,0
336,187,0,0,0,0,0,0,0
337,187,0,0,0,0,0,0,0
338,188,0,0,0,0,0,0,0
339,188,0,0,0,0,0,0,0
340,189,0,0,0,0,0,0,0
341,189,0,0,0,0,0,0,0
342,190,0,0,0,0,0,0,0
343,190,0,0,0,0,0,0,0
344,191,0,0,0,0,0,0,0
345,191,0,0,0,0,0,0,0
346,192,0,0,0,0,0,0,0
347,192,0,0,0,0,0,0,0
348,193,0,0,0,0,0,0,0
349,193,0,0,0,0,0,0,0
350,194,0,0,0,0,0,0,0
351,194,0,0,0,0,0,0,0
352,195,0,0,0,0,0,0,0
353,195,0,0,0,0,0,0,0
354,196,0,0,0,0,0,0,0
355,196,0,0,0,0,0,0,0
356,197,0,0,0,0,0,0,0
