t,i,dest_port,size
1923,1,0,160
1923,2,-1,-1
1923,3,-1,-1
1923,4,-1,-1
1923,5,-1,-1
1923,6,-1,-1
1923,7,-1,-1
1924,0,0,160
1924,1,0,160
1924,2,-1,-1
1924,3,-1,-1
1924,4,-1,-1
1924,5,-1,-1
1924,6,-1,-1
1924,7,-1,-1
1925,0,0,160
1925,1,0,160
1925,2,-1,-1
1925,3,-1,-1
1925,4,-1,-1
1925,5,-1,-1
1925,6,-1,-1
1925,7,-1,-1
1926,0,0,160
1926,1,0,160
1926,2,-1,-1
1926,3,-1,-1
1926,4,-1,-1
1926,5,-1,-1
1926,6,-1,-1
1926,7,-1,-1
1927,0,0,160
1927,1,0,160
1927,2,-1,-1
1927,3,-1,-1
1927,4,-1,-1
1927,5,-1,-1
1927,6,-1,-1
1927,7,-1,-1
1928,0,0,160
1928,1,0,160
1928,2,-1,-1
1928,3,-1,-1
1928,4,-1,-1
1928,5,-1,-1
1928,6,-1,-1
1928,7,-1,-1
1929,0,0,160
1929,1,0,160
1929,2,-1,-1
1929,3,-1,-1
1929,4,-1,-1
1929,5,-1,-1
1929,6,-1,-1
1929,7,-1,-1
1930,0,0,160
1930,1,0,160
1930,2,-1,-1
1930,3,-1,-1
1930,4,-1,-1
1930,5,-1,-1
1930,6,-1,-1
1930,7,-1,-1
1931,0,0,160
1931,1,0,160
1931,2,-1,-1
1931,3,-1,-1
1931,4,-1,-1
1931,5,-1,-1
1931,6,-1,-1
1931,7,-1,-1
1932,0,0,160
1932,1,0,160
1932,2,-1,-1
1932,3,-1,-1
1932,4,-1,-1
1932,5,-1,-1
1932,6,-1,-1
1932,7,-1,-1
1933,0,0,160
1933,1,0,160
1933,2,-1,-1
1933,3,-1,-1
1933,4,-1,-1
1933,5,-1,-1
1933,6,-1,-1
1933,7,-1,-1
1934,0,0,160
1934,1,0,160
1934,2,-1,-1
1934,3,-1,-1
1934,4,-1,-1
1934,5,-1,-1
1934,6,-1,-1
1934,7,-1,-1
1935,0,0,160
1935,1,0,160
1935,2,-1,-1
1935,3,-1,-1
1935,4,-1,-1
1935,5,-1,-1
1935,6,-1,-1
1935,7,-1,-1
1936,0,0,160
1936,1,0,160
1936,2,-1,-1
1936,3,-1,-1
1936,4,-1,-1
1936,5,-1,-1
1936,6,-1,-1
1936,7,-1,-1
1937,0,0,160
1937,1,0,160
1937,2,-1,-1
1937,3,-1,-1
1937,4,-1,-1
1937,5,-1,-1
1937,6,-1,-1
1937,7,-1,-1
1938,0,0,160
1938,1,0,160
1938,2,-1,-1
1938,3,-1,-1
1938,4,-1,-1
1938,5,-1,-1
1938,6,-1,-1
1938,7,-1,-1
1939,0,0,160
1939,1,0,160
1939,2,-1,-1
1939,3,-1,-1
1939,4,-1,-1
1939,5,-1,-1
1939,6,-1,-1
1939,7,-1,-1
1940,0,0,160
1940,1,0,160
1940,2,-1,-1
1940,3,-1,-1
1940,4,-1,-1
1940,5,-1,-1
1940,6,-1,-1
1940,7,-1,-1
1941,0,0,160
1941,1,0,160
1941,2,-1,-1
1941,3,-1,-1
1941,4,-1,-1
1941,5,-1,-1
1941,6,-1,-1
1941,7,-1,-1
1942,0,0,160
1942,1,0,160
1942,2,-1,-1
1942,3,-1,-1
1942,4,-1,-1
1942,5,-1,-1
1942,6,-1,-1
1942,7,-1,-1
1943,0,0,160
1943,1,0,160
1943,2,-1,-1
1943,3,-1,-1
1943,4,-1,-1
1943,5,-1,-1
1943,6,-1,-1
1943,7,-1,-1
1944,0,0,160
1944,1,0,160
1944,2,-1,-1
1944,3,-1,-1
1944,4,-1,-1
1944,5,-1,-1
1944,6,-1,-1
1944,7,-1,-1
1945,0,0,160
1945,1,0,160
1945,2,-1,-1
1945,3,-1,-1
1945,4,-1,-1
1945,5,-1,-1
1945,6,-1,-1
1945,7,-1,-1
1946,0,0,160
1946,1,0,160
1946,2,-1,-1
1946,3,-1,-1
1946,4,-1,-1
1946,5,-1,-1
1946,6,-1,-1
1946,7,-1,-1
1947,0,0,160
1947,1,0,160
1947,2,-1,-1
1947,3,-1,-1
1947,4,-1,-1
1947,5,-1,-1
1947,6,-1,-1
1947,7,-1,-1
1948,0,0,160
1948,1,0,160
1948,2,-1,-1
1948,3,-1,-1
1948,4,-1,-1
1948,5,-1,-1
1948,6,-1,-1
1948,7,-1,-1
1949,0,0,160
1949,1,0,160
1949,2,-1,-1
1949,3,-1,-1
1949,4,-1,-1
1949,5,-1,-1
1949,6,-1,-1
1949,7,-1,-1
1950,0,0,160
1950,1,0,160
1950,2,-1,-1
1950,3,-1,-1
1950,4,-1,-1
1950,5,-1,-1
1950,6,-1,-1
1950,7,-1,-1
1951,0,0,160
1951,1,0,160
1951,2,-1,-1
1951,3,-1,-1
1951,4,-1,-1
1951,5,-1,-1
1951,6,-1,-1
1951,7,-1,-1
1952,0,0,160
1952,1,0,160
1952,2,-1,-1
1952,3,-1,-1
1952,4,-1,-1
1952,5,-1,-1
1952,6,-1,-1
1952,7,-1,-1
1953,0,0,160
1953,1,0,160
1953,2,-1,-1
1953,3,-1,-1
1953,4,-1,-1
1953,5,-1,-1
1953,6,-1,-1
1953,7,-1,-1
1954,0,0,160
1954,1,0,160
1954,2,-1,-1
1954,3,-1,-1
1954,4,-1,-1
1954,5,-1,-1
1954,6,-1,-1
1954,7,-1,-1
1955,0,0,160
1955,1,0,160
1955,2,-1,-1
1955,3,-1,-1
1955,4,-1,-1
1955,5,-1,-1
1955,6,-1,-1
1955,7,-1,-1
1956,0,0,160
1956,1,0,160
1956,2,-1,-1
1956,3,-1,-1
1956,4,-1,-1
1956,5,-1,-1
1956,6,-1,-1
1956,7,-1,-1
1957,0,0,160
1957,1,0,160
1957,2,-1,-1
1957,3,-1,-1
1957,4,-1,-1
1957,5,-1,-1
1957,6,-1,-1
1957,7,-1,-1
1958,0,0,160
1958,1,0,160
1958,2,-1,-1
1958,3,-1,-1
1958,4,-1,-1
1958,5,-1,-1
1958,6,-1,-1
1958,7,-1,-1
1959,0,0,160
1959,1,0,160
1959,2,-1,-1
1959,3,-1,-1
1959,4,-1,-1
1959,5,-1,-1
1959,6,-1,-1
1959,7,-1,-1
1960,0,0,160
1960,1,0,160
1960,2,-1,-1
1960,3,-1,-1
1960,4,-1,-1
1960,5,-1,-1
1960,6,-1,-1
1960,7,-1,-1
1961,0,0,160
1961,1,0,160
1961,2,-1,-1
1961,3,-1,-1
1961,4,-1,-1
1961,5,-1,-1
1961,6,-1,-1
1961,7,-1,-1
1962,0,0,160
1962,1,0,160
1962,2,-1,-1
1962,3,-1,-1
1962,4,-1,-1
1962,5,-1,-1
1962,6,-1,-1
1962,7,-1,-1
1963,0,0,160
1963,1,0,160
1963,2,-1,-1
1963,3,-1,-1
1963,4,-1,-1
1963,5,-1,-1
1963,6,-1,-1
1963,7,-1,-1
1964,0,0,160
1964,1,0,160
1964,2,-1,-1
1964,3,-1,-1
1964,4,-1,-1
1964,5,-1,-1
1964,6,-1,-1
1964,7,-1,-1
1965,0,0,160
1965,1,0,160
1965,2,-1,-1
1965,3,-1,-1
1965,4,-1,-1
1965,5,-1,-1
1965,6,-1,-1
1965,7,-1,-1
1966,0,0,160
1966,1,0,160
1966,2,-1,-1
1966,3,-1,-1
1966,4,-1,-1
1966,5,-1,-1
1966,6,-1,-1
1966,7,-1,-1
1967,0,0,160
1967,1,0,160
1967,2,-1,-1
